route,rmse,mae,directional_acc
Delhi_Mumbai,19053.27525776383,17241.555261026067,48.64245992803402
Mumbai_Delhi,19408.10809581738,17748.066226387797,50.92874029044242
Delhi_Bangalore,19340.766584014425,16758.474837936177,58.13704496788008
