model,rmse,mae,directional_acc,route
,8201.65485188087,4451.751224746008,26.774847870182555,Mumbai_Delhi
,8897.888212393598,5023.819707702537,27.439423706614274,Delhi_Mumbai
,8901.147326446533,4570.537140938895,22.86530903894248,Delhi_Bangalore
Random forest,18716.900790227464,14414.867591681634,75.3203899675027,
Gradient Boosting,18884.74366631884,15041.95282755244,73.65219565036247,
,19053.27525776383,17241.555261026067,48.64245992803402,Delhi_Mumbai
,19340.766584014425,16758.474837936177,58.13704496788008,Delhi_Bangalore
,19408.10809581738,17748.066226387797,50.92874029044242,Mumbai_Delhi
